"DnsServer","HostName","RecordType","Timestamp"
"DC02","@","A","5/11/2026 5:00:00 PM"
"DC02","@","A","5/11/2026 4:00:00 PM"
"DC02","@","NS",
"DC02","@","NS",
"DC02","@","SOA",
"DC02","_msdcs","NS",
"DC02","_gc._tcp.Default-First-Site-Name._sites","SRV","5/11/2026 5:00:00 PM"
"DC02","_gc._tcp.Default-First-Site-Name._sites","SRV","5/11/2026 4:00:00 PM"
"DC02","_kerberos._tcp.Default-First-Site-Name._sites","SRV","5/11/2026 5:00:00 PM"
"DC02","_kerberos._tcp.Default-First-Site-Name._sites","SRV","5/11/2026 4:00:00 PM"
"DC02","_ldap._tcp.Default-First-Site-Name._sites","SRV","5/11/2026 5:00:00 PM"
"DC02","_ldap._tcp.Default-First-Site-Name._sites","SRV","5/11/2026 4:00:00 PM"
"DC02","_gc._tcp","SRV","5/12/2026 12:00:00 PM"
"DC02","_gc._tcp","SRV","5/11/2026 5:00:00 PM"
"DC02","_kerberos._tcp","SRV","5/11/2026 5:00:00 PM"
"DC02","_kerberos._tcp","SRV","5/11/2026 4:00:00 PM"
"DC02","_kpasswd._tcp","SRV","5/11/2026 5:00:00 PM"
"DC02","_kpasswd._tcp","SRV","5/11/2026 4:00:00 PM"
"DC02","_ldap._tcp","SRV","5/11/2026 5:00:00 PM"
"DC02","_ldap._tcp","SRV","5/11/2026 4:00:00 PM"
"DC02","_kerberos._udp","SRV","5/11/2026 5:00:00 PM"
"DC02","_kerberos._udp","SRV","5/11/2026 4:00:00 PM"
"DC02","_kpasswd._udp","SRV","5/11/2026 5:00:00 PM"
"DC02","_kpasswd._udp","SRV","5/11/2026 4:00:00 PM"
"DC02","dc01","A",
"DC02","dc02","A",
"DC02","DomainDnsZones","A","5/11/2026 5:00:00 PM"
"DC02","DomainDnsZones","A","5/11/2026 4:00:00 PM"
"DC02","_ldap._tcp.Default-First-Site-Name._sites.DomainDnsZones","SRV","5/11/2026 5:00:00 PM"
"DC02","_ldap._tcp.Default-First-Site-Name._sites.DomainDnsZones","SRV","5/11/2026 4:00:00 PM"
"DC02","_ldap._tcp.DomainDnsZones","SRV","5/11/2026 5:00:00 PM"
"DC02","_ldap._tcp.DomainDnsZones","SRV","5/11/2026 4:00:00 PM"
"DC02","ForestDnsZones","A","5/11/2026 5:00:00 PM"
"DC02","ForestDnsZones","A","5/11/2026 4:00:00 PM"
"DC02","_ldap._tcp.Default-First-Site-Name._sites.ForestDnsZones","SRV","5/11/2026 5:00:00 PM"
"DC02","_ldap._tcp.Default-First-Site-Name._sites.ForestDnsZones","SRV","5/11/2026 4:00:00 PM"
"DC02","_ldap._tcp.ForestDnsZones","SRV","5/11/2026 5:00:00 PM"
"DC02","_ldap._tcp.ForestDnsZones","SRV","5/11/2026 4:00:00 PM"
"DC02","MGMT01","A","5/11/2026 6:00:00 PM"
