"ActivityDateTime","ActivityDisplayName","Result","ResultReason","Category","LoggedByService","InitiatedBy","TargetResources"
"5/14/2026 12:57:04 PM","Update conditional access policy","success","","Policy","Conditional Access","SeungHunJeong@democompany1016.onmicrosoft.com","CA001-Require-MFA-Pilot-Users"
"5/14/2026 12:57:04 PM","Update policy","success","","Policy","Core Directory","SeungHunJeong@democompany1016.onmicrosoft.com","CA001-Require-MFA-Pilot-Users"
"5/14/2026 12:56:59 PM","Update conditional access policy","success","","Policy","Conditional Access","SeungHunJeong@democompany1016.onmicrosoft.com","CA001-Require-MFA-Pilot-Users"
"5/14/2026 12:56:59 PM","Update policy","success","","Policy","Core Directory","SeungHunJeong@democompany1016.onmicrosoft.com","CA001-Require-MFA-Pilot-Users"
"5/14/2026 12:56:14 PM","Update conditional access policy","success","","Policy","Conditional Access","SeungHunJeong@democompany1016.onmicrosoft.com","CA001-Require-MFA-Pilot-Users"
"5/14/2026 12:56:13 PM","Update policy","success","","Policy","Core Directory","SeungHunJeong@democompany1016.onmicrosoft.com","CA001-Require-MFA-Pilot-Users"
"5/13/2026 9:19:31 PM","Add conditional access policy","success","","Policy","Conditional Access","SeungHunJeong@democompany1016.onmicrosoft.com","CA002-Block-Legacy-Authentication"
"5/13/2026 9:19:31 PM","Add policy","success","","Policy","Core Directory","SeungHunJeong@democompany1016.onmicrosoft.com","CA002-Block-Legacy-Authentication"
"5/13/2026 9:05:01 PM","Add conditional access policy","success","","Policy","Conditional Access","SeungHunJeong@democompany1016.onmicrosoft.com","CA001-Require-MFA-Pilot-Users"
"5/13/2026 9:05:01 PM","Add policy","success","","Policy","Core Directory","SeungHunJeong@democompany1016.onmicrosoft.com","CA001-Require-MFA-Pilot-Users"
"5/13/2026 8:30:54 PM","Delete conditional access policy","success","Soft deleted conditional access policy","Policy","Conditional Access","SeungHunJeong@democompany1016.onmicrosoft.com","CA02-Require-MFA-Pilot-Users"
"5/13/2026 8:30:49 PM","Delete conditional access policy","success","Soft deleted conditional access policy","Policy","Conditional Access","SeungHunJeong@democompany1016.onmicrosoft.com","CA01-Require-MFA-Admins"
